M,N,PR,TT/TL,SI,Lm,IP,RL,BL,TD,PRT,WGT,DoMax,DoMin,WMax,WMin,DsMax,WsMax,LR_RL,LR_BL,AR,WS,A,RD,FH,G,AM,QS
24,7.7,14,TL,190,8200,135,12300,24600,Flight Leader,247F48-4,27.2,24.15,23.3,7.65,7.2,21.5,6.75,9.95,7.4,0.924,24x7.7,5.5,10,0.91,1.7,Saab DO BAe,C62d
28,7.7,14,TL,174K,11000,195,16500,33000,Rib,461B-3356-TL,34.8,27.4,26.6,7.85,7.4,24.9,6.95,11.75,9.3,0.852,28x7.7,6,14,1,1.75,Lockheed,USN MS17838
30,7.7,14,TL,200,12000,185,18000,36000,Rib,307P40G1,41.3,29.4,28.6,7.85,7.4,26.9,6.95,12.75,10.6,0.852,30x7.7,6,16,1,1.65,Saab,—
30,7.7,18,TL,230,16500,270,24750,49500,Rib,307P89G1,48.4,29.4,28.6,7.85,7.4,26.9,6.95,12.75,10.8,0.852,30x7.7,6,16,1,2.15,Saab,—
24.5,8.5,10,TL,210,5700,85,8550,17100,Flight Leader DT,248F03G2,36.2,24.5,23.75,8.5,8,21.9,7.5,10.05,7.2,0.856,24.5x8.5,6.25,10,0.81,1.35,Fokker,C62c
24.5,8.5,12,TL,160,6900,90,10000,18600,Flight Leader,248P26G1,27.2,24.5,23.75,8.5,8,21.9,7.5,9.85,7.1,0.856,24.5x8.5,6.25,10,0.81,1.35,Casa Cessna,5041F
24.5,8.5,10,TL,210,5700,85,8550,17100,Flight Leader,248F03T1,35.7,24.5,23.75,8.5,8,21.9,7.5,10.05,7.1,0.856,24.5x8.5,6.25,10,0.81,1.35,Fokker,C62c
30,8.8,16,TL,225,14200,200,21300,42600,Flight Leader,309F62G1,53.1,30.3,29.5,8.9,8.3,27.4,7.9,12.95,10.1,0.866,30x8.8,7,15,1.13,2.25,Snias,C62c
32,8.8,14,TL,210,13000,170,19500,39000,Flight Leader,328F43G1,46.1,31,30.05,8.9,8.35,28.05,7.9,13.3,10.4,0.842,32x8.8,7,16,1.13,1.75,Saab,C62c
34,11,22,TL,225,20500,185,30750,61500,Flight Leader,341F22-2,81.4,33.4,32.6,11.3,10.6,29.9,9.95,13.95,10.1,0.868,34x11,9,14,1.5,2.7,Douglas Lockheed,C62c
36,11,22,TL,190,23300,200,34950,69900,Rib,461B-3383-TL,89.6,35.1,34,11.5,10.8,31.65,10.1,14.75,11,0.832,36x11,9,16,1.38,2.9,Fairchild,USAF 8631526
36,11,22,TL,225,23300,200,34950,69900,Flight Leader,361F22-2,87.5,35.1,34,11.5,10.8,31.65,10.1,14.75,11.2,0.832,36x11,9,16,1.38,2.6,Lockheed,C62c
36,11,24,TL,201,26500,235,39750,79500,Rib,461B-3219-TL,72.9,35.1,34,11.5,10.8,31.65,10.1,14.75,11,0.832,36x11,9,16,1.38,2.8,—,USN MS14482
40,12,20,TL,210,23900,170,35850,71700,Flight Leader,402F03G1,113.1,39.4,38.4,12.35,11.7,35.5,10.9,16.6,12.5,0.869,40x12,10,18,1.5,2.6,BAC,C62c
39,13,16,TL,225,17200,115,25800,51600,Flight Leader,393F62T2,99.4,38.25,37.3,13,12.25,34.25,11.45,15.8,10.7,0.862,39x13,10,16,1.25,2.3,Boeing,C62c
39,13,16,TL,225,17200,115,25800,51600,Flight Leader,393F62G5,87.4,38.25,37.3,13,12.25,34.25,11.45,15.8,10.5,0.862,39x13,10,16,1.25,2.3,Boeing Fokker,C62c
39,13,16,TL,195K,17200,115,25800,51600,Rib,461B-2787-TL,81.2,38.25,37.3,13,12.25,34.25,11.45,15.8,10.9,0.862,39x13,10,16,1.25,2.3,Boeing,USAF 63D3009
39,13,14,TL,210,15000,100,22500,45000,Flight Leader,393F43-1,80,38.25,37.3,13,12.25,34.25,11.45,15.8,10.7,0.862,39x13,10,16,1.25,2.2,Lockheed Aeritalia,C62c
39,13,14,TL,210,15000,100,22500,45000,Flight Leader,393F43-1,80,38.25,37.3,13,12.25,34.25,11.45,15.8,10.7,0.862,39x13,10,16,1.25,2.2,Lockheed Aeritalia,5041
39,13,18,TL,210,19400,130,29100,58200,Flight Leader,393F83-1,87,38.25,37.3,13,12.25,34.25,11.45,15.8,10.5,0.862,39x13,10,16,1.25,2.3,Alenia,C62d
39,13,24,TL,210,27400,188,41100,82200,Flight Leader,393F53-1,103.7,38.25,37.3,13,12.25,34.25,11.45,15.85,11,0.862,39x13,10,16,1.38,2.8,BAe,C62d
40,14,16,TL,210,17300,105,25950,51900,Flight Leader,404F63T2,111.3,39.8,38.85,14,13.25,35.1,12,16.45,11.1,0.856,40x14,11,16,1.63,2.4,Fokker,C62c
40,14,16,TL,210,17300,105,25950,51900,Flight Leader,404F63-1,96.3,39.8,38.85,14,13.25,35.1,12,16.45,11.1,0.856,40x14,11,16,1.63,2.4,Fokker,C62c
40,14,24,TL,225,27700,170,41550,83100,Flight Leader,404F42-9,129.1,39.8,38.85,14,13.25,35.1,12,16.45,11.4,0.856,40x14,11,16,1.63,2.95,Boeing LAC Snias,C62c
40,14,24,TL,225,27700,170,41550,83100,Flight Leader,404F42T2,136.4,39.8,38.85,14,13.25,35.1,12,16.45,11.4,0.856,40x14,11,16,1.63,2.95,Boeing LAC Snias,C62c
40,14,28,TL,174K,33500,200,50250,100500,Rib,461B-3208-TL-AS,107.8,39.8,38.85,14,13.25,35.1,12,16.45,11.3,0.856,40x14,11,16,1.63,3.1,Lockheed,USN MS26563AS
40,14,28,TL,225,33100,200,49650,49650,Flight Leader,404F82G3,134.2,39.8,38.85,14,13.25,35.1,12,16.45,11.4,0.856,40x14,11,16,1.63,3.1,Boeing LAC Snias,C62c
44,16,28,TL,174K,38400,185,57600,115200,Rib,461B-2886-TL,167.7,43.25,42.3,16,15.05,38.2,13.7,17.95,12.6,0.798,44x16,13.25,18,1.63,3.25,Lockheed,USAF 61F4307H
44,16,30,TL,225,41700,210,62550,125100,Flight Leader,446F02-4,176,43.25,42.3,16,15.05,38.2,13.7,17.95,12.8,0.798,44x16,13.25,18,1.63,3.4,Douglas,C62c
46,16,28,TL,195K,41800,210,62700,125400,Rib,461B-3562-TL,154.4,45.25,44.3,16,15.05,40.7,14.1,19,13.7,0.798,46x16,13.25,20,1.75,3.25,Boeing,C62d 5041H
46,16,28,TL,225,41800,210,62700,125400,Flight Leader,466F82T6,198.4,45.25,44.3,16,15.05,40.7,14.1,19,13.7,0.798,46x16,13.25,20,1.75,3.25,Boeing Snias,C62c
46,16,30,TL,225,44800,225,67200,134400,Flight Leader,466F02-6,207.7,45.25,44.3,16,15.05,40.7,14.1,19,14,0.798,46x16,13.25,20,1.88,3.4,Boeing,C62c
46,16,32,TL,225,48000,245,72000,144000,Flight Leader,466F22G1,208,45.25,44.3,16,15.05,40.7,14.1,19,14,0.798,46x16,13.25,20,1.88,3.4,Boeing Snias,C62c
46,16,30,TL,225,44800,225,67200,134400,Flight Leader,466F02T5,206.9,45.25,44.3,16,15.05,40.7,14.1,19,14,0.798,46x16,13.25,20,1.88,3.4,Boeing Snias,C62c
49,17,26,TL,195K,39600,170,59400,118800,Rib,461B-2688-TL,194.1,48.75,47.7,17.25,16.4,43,14.5,20.15,13.5,0.839,49x17,13.25,20,1.75,3.25,Boeing,USAF 60D2561P
49,17,26,TL,174K,39600,170,59400,118800,Rib,461B-3505-TL,157.9,48.75,47.7,17.25,16.4,43,14.5,20.15,13.4,0.839,49x17,13.25,20,1.75,3.25,Lockheed,USAF 71203
49,17,32,TL,225,50400,210,75600,151200,Flight Leader,497F22T4,243.3,48.75,47.7,17.25,16.4,43,14.5,20.2,14,0.839,49x17,13.25,20,1.88,3.65,Boeing,C62c
49,17,30,TL,225,46700,195,70050,140100,Flight Leader,497F02-7,217,48.75,47.7,17.25,16.4,43,14.5,20.2,14,0.839,49x17,13.25,20,1.88,3.5,Boeing,C62c
49,17,30,TL,225,46700,195,70050,140100,Flight Leader,497F02T5,241.9,48.75,47.7,17.25,16.4,43,14.5,20.2,14,0.839,49x17,13.25,20,1.88,3.5,Boeing,C62c
49,17,32,TL,235,50400,210,75600,151200,Flight Leader,497F29T1,223,48.75,47.7,17.25,16.4,43,14.5,20.2,14,0.839,49x17,13.25,20,1.88,3.65,Boeing,C62d
49,17,30,TL,225,46700,195,70050,140100,Flight Leader,497F02T6,221.4,48.75,47.7,17.25,16.4,43,14.5,20.2,14,0.839,49x17,13.25,20,1.88,3.5,Boeing,C62d
49,17,32,TL,235,50400,210,75600,151200,Flight Leader,497F29-3,215.1,48.75,47.7,17.25,16.4,43,14.5,20.2,14,0.839,49x17,13.25,20,1.88,3.65,Boeing,C62d
