Pre,M,N,D,PR,SI,Lm,IP,BL,DoMax,DoMin,WMax,WMin,DsMax,WsMax,AR,LR_RL,LR_BL,A,D,FH,G,DF,QS
,18.0,5.5,,8,190,"3,050",105,"9,150",17.9,17.3,5.75,5.35,16.2,5,0.87,7.5,6.2,4.25,8,0.875,1.25,9.75,TSO-C62 
,18.0,5.5,,8,210,"3,050",105,"9,150",17.9,17.3,5.75,5.35,16.2,5,0.87,7.5,6.2,4.25,8,0.875,1.25,9.75,TSO-C62 
,18.0,5.5,,8,139 kt ,"3,050",105,"9,150",17.9,17.3,5.75,5.35,16.2,5,0.87,7.5,6.2,4.25,8,0.875,1.25,9.75,MIL-T-5041 
,18.0,5.5,,10,210,"4,000",140,"12,000",17.9,17.3,5.75,5.35,16.2,5,0.87,7.5,6.2,4.25,8,0.875,1.4,9.75,TSO-C62 
,18.0,5.5,,12,160,"5,050",175,"15,150",17.9,17.3,5.75,5.35,16.2,5,0.87,7.5,6.2,4.25,8,0.875,1.4,9.75,MIL-T-5041 
,18.0,5.5,,14,239 kt ,"6,200",215,"18,600",17.9,17.3,5.75,5.35,16.2,5,0.87,7.5,6.2,4.25,8,0.875,1.5,9.75,MIL-T-5041 
,18.0,5.7,8.0,14,247,"6,200",215,"18,600",17.9,17.3,5.7,5.35,16.2,5,0.87,7.5,6.1,4.25,8,0.875,1.5,9.75,MIL-T-5041 
,18.0,5.7,8.0,18,250,"8,600",300,"25,800",17.9,17.3,5.7,5.35,16.2,5,0.87,7.5,6.1,4.25,8,0.875,1.5,9.75,MIL-T-5041 
,18.0,5.7,8.0,20,250,"9,000",315,"27,000",17.9,17.3,5.7,5.35,16.2,5,0.87,7.5,6.1,4.25,8,0.875,1.5,9.75,MIL-T-5041 
,18.0,5.75,8.0,8,,"3,000",105,"9,000",18,17.4,5.75,5.4,16.2,5.1,0.87,7.5,6.1,4.25,8,0.875,1.25,9.75,
,18.0,6.5,8.0,12,223 kt ,"5,000",150,"15,000",18,17.45,6.5,6.2,15.95,5.7,0.77,7.6,6,5.25,8,0.875,1.5,9.75,MIL-T-5041 
,19.0,4.5,11.5,10,230,"3,500",165,"10,500",19.5,19,4.5,4.25,18.1,4,0.89,8.6,,3.15,11.5,0.655,0.92,13.34,MIL-T-5041 
,19.0,5.25,10.0,12,185,,,,,,,,,,,,,,,,,,MIL-T-5041 
,19.5,6.75,8.0,6,190,"2,300",61,"6,900",19.5,18.9,6.75,6.2,17.45,5.95,0.85,8.1,5.5,5.25,8,0.812,1.25,9.62,TSO-C62 
,19.5,6.75,8.0,8,210,"3,300",86,"9,900",19.5,18.9,6.75,6.2,17.45,5.95,0.85,8.1,5.5,5.25,8,0.812,1.25,9.62,TSO-C62 
,19.5,6.75,8.0,10,160,"4,270",110,"12,810",19.5,18.9,6.75,6.2,17.45,5.95,0.85,8.1,5.5,5.25,8,0.812,1.25,9.62,TSO-C62 
,19.5,6.75,8.0,10,190,"4,270",110,"12,810",19.5,18.9,6.75,6.2,17.45,5.95,0.85,8.1,5.5,5.25,8,0.812,1.25,9.62,TSO-C62 
,19.5,6.75,8.0,10,190,"4,270",110,"12,810",19.2,18.6,6.35,5.8,17.45,5.95,0.85,8.1,5.5,5.25,8,0.812,1.25,9.62,TSO-C62 
H,19.5,6.75,10.0,6,,"3,000",85,"9,000",19.5,18.9,6.75,6.35,17.8,5.95,0.7,8.3,,4.25,10,0.75,1.3,11.5,
H,19.5,6.75,10.0,8,,"4,000",120,"12,000",19.5,18.9,6.75,6.35,17.8,5.95,0.7,8.3,,4.25,10,0.75,1.5,11.5,
,20.0,4.4,,8,160,"3,400",175,"10,200",20,19.5,4.45,4.15,19.45,3.95,0.9,8.9,8,3.5,12,0.812,1.3,13.62,TSO-C62 
,20.0,4.4,,10,160,"4,250",190,"12,750",20,19.5,4.45,4.15,19.45,3.95,0.9,8.9,8,3.5,12,0.812,1.3,13.62,MIL-T-5041 
,20.0,4.4,,12,195kt ,"5,150",225,"15,450",20,19.5,4.45,4.15,19.45,3.95,0.9,8.9,8,3.5,12,0.812,1.3,13.62,MIL-T-5041 
,20.0,4.4,,14,204 kt ,"6,500",265,"18,000",20,19.5,4.45,4.15,19.45,3.95,0.9,8.9,8,3.5,12,0.812,1.3,13.62,MIL-T-5041 
*,20.0,5.25,11.0,10,,"4,890",161,"14,670",21.25,20.65,5.7,5.5,19.7,4.55,0.9,9.3,,4.5,11,0.625,1.3,12.25,
,20.0,5.5,,12,,"6,150",180,"18,450",20.15,19.55,5.7,5.35,19.3,4.75,0.89,8.6,7.1,4.25,10,0.875,1.38,11.75,
,20.0,5.5,,14,199,"7,200",230,"21,600",20.15,19.55,5.7,5.35,19.3,4.75,0.89,8.6,7.1,4.25,10,0.875,1.38,11.75,MIL-T-5041 
,20.0,5.5,,16,185,"8,750",270,"26,250",20.15,19.55,5.7,5.35,19.3,4.75,0.89,8.6,7.1,4.25,10,0.875,1.51,11.75,MIL-T-5041 
,21.0,7.25,10.0,8,,"4,000",95,"12,000",21.25,20.6,7.2,6.8,19.25,6.35,0.78,9,6.8,5.5,10,1,1.25,12,
,21.0,7.25,10.0,10,210,"5,150",135,"15,450",21.25,20.6,7.2,6.8,19.25,6.35,0.78,9,6.8,5.5,10,1,1.4,12,TSO-C62 
,21.0,7.25,10.0,12,225,"6,400",166,"19,200",21.25,20.6,7.2,6.8,19.25,6.35,0.78,9,6.8,5.5,10,1,1.95,12,TSO-C62 
,21.0,7.25,10.0,20,225,"12,000",320,"36,000",21.25,20.6,7.2,6.8,19.25,6.35,0.78,9,6.8,5.5,10,1,2,12,MIL-T-5041 
H,21.0,7.25,8.0,12,,"5,650",106,"18,950",21,20.35,7.25,6.85,19.7,6.55,0.9,8.4,,4.75,8,0.75,1.95,9.5,
,21.5,7.0,10.0,12,160,"6,700",135,"20,100",21.76,21.14,7.05,6.73,18.9,6.14,0.83,9,,5.9,10,0.75,,,MIL-T-5041 
,22.0,5.5,,8,139 kt ,"4,350",135,"13,050",22.15,21.55,5.7,5.35,21.3,4.95,0.89,9.6,8,4.25,12,0.875,1.25,13.75,MIL-T-5041 
,22.0,5.5,,10,230,"5,700",185,"17,100",22.15,21.55,5.7,5.35,21.3,4.95,0.89,9.6,8,4.25,12,0.875,1.25,13.75,MIL-T-5041 
,22.0,5.5,,12,160,"7,100",250,"21,300",22.15,21.55,5.7,5.35,21.3,4.95,0.89,9.6,8,4.25,12,0.875,1.45,13.75,MIL-T-5041 
,22.0,5.75,12.0,8,,"4,350",135,"13,050",22,21.4,5.75,5.4,20.2,5.05,0.87,9.6,8,4.25,12,0.875,1.25,13.75,
,22.0,5.75,12.0,10,190,"5,700",180,"17,100",22,21.4,5.75,5.4,20.2,5.05,0.87,9.6,8,4.25,12,0.875,1.35,13.75,TSO-C62 
,22.0,5.75,12.0,12,,"7,100",220,"21,300",22,21.4,5.75,5.4,20.2,5.05,0.87,9.6,8,4.25,12,0.875,1.38,13.75,
,22.0,6.5,10.0,8,210,"3,975",95,"11,925",22.1,21.35,6.65,6.25,19.9,5.65,0.91,9.2,,4.75,10,0.812,1.2,11.62,TSO-C62 
,22.0,6.5,10.0,10,190,"5,200",125,"15,600",22.1,21.35,6.65,6.25,19.9,5.65,0.91,9.2,,4.75,10,0.812,1.7,11.62,TSO-C62 
,22.0,6.6,10.0,18,,"9,200",260,"27,600",22.2,21.6,6.8,6.4,20,6,0.9,9.4,7.2,5.5,10,1,2,12,MIL-T-5041 
,22.0,6.6,10.0,18,200 kt ,"10,700",260,"32,100",22.2,21.6,6.8,6.4,20,6,0.9,9.4,7.2,5.5,10,1,2,12,MIL-T-5041 
,22.0,6.6,10.0,20,190 kt ,"12,000",270,"36,000",22.2,21.6,6.8,6.4,20,6,0.9,9.4,7.2,5.5,10,1,2,12,MIL-T-5041 
,22.0,6.6,10.0,22,225,,,,22.2,21.6,6.8,6.4,20,6,0.9,9.4,7.2,5.5,10,1,2,12,MIL-T-5041 
,22.0,6.75,10.0,8,160,"4,450",95,"13,350",22,21.3,6.75,6.35,19.85,5.95,0.89,9.1,6.9,4.75,10,0.812,1.1,11.62,TSO-C62 
,22.0,6.75,10.0,10,160,"5,900",125,"17,700",22,21.3,6.75,6.35,19.85,5.95,0.89,9.1,6.9,4.75,10,0.812,1.3,11.62,TSO-C62 
,22.0,6.75,10.0,10,190,"5,900",125,"17,700",22,21.3,6.75,6.35,19.85,5.95,0.89,9.1,6.9,4.75,10,0.812,2,11.62,TSO-C62 
